ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,"M. DHORASOO Vikash","M. LEJOINDRE Eric","M. BOURNAZEL Pierre-Yves","M. DE GERMAIN Jérôme   ","Mme BOUX Anne-Claire    ","M. ELALOUF Lucas    ","M. GIBERT Florian    ","M. AKSAS Abdellah","M. GRANIER Rudolph","M. MAZUR Jean-Jacques","M. LISCIA Pierre","M. CAMPION Marcel","Mme DABOUSSI Hela","M. GARNIER Patrick"
18-48,Municipales,2020,1,2020/03/15,3,69,18,48,27,1293,565,566,6,8,552,65,180,66,7,116,33,4,2,51,2,16,3,4,3
18-49,Municipales,2020,1,2020/03/15,18,69,18,49,2,1103,331,331,6,11,314,29,73,61,3,31,55,1,4,43,3,3,5,2,1
18-50,Municipales,2020,1,2020/03/15,18,69,18,50,3,1128,314,314,3,13,298,26,88,44,5,18,45,2,9,46,3,8,3,1,0
18-51,Municipales,2020,1,2020/03/15,17,71,18,51,8,1700,473,473,0,5,468,53,151,59,2,46,62,3,2,60,1,17,4,6,2
18-52,Municipales,2020,1,2020/03/15,17,71,18,52,32,1798,789,790,5,8,777,83,247,88,5,154,43,3,9,77,5,49,2,7,5
18-53,Municipales,2020,1,2020/03/15,17,71,18,53,19,1380,557,557,4,3,550,81,178,73,6,110,16,5,7,44,1,20,4,1,4
18-54,Municipales,2020,1,2020/03/15,17,71,18,54,18,1298,468,469,4,9,456,50,188,47,6,64,20,5,7,42,1,19,2,4,1
18-55,Municipales,2020,1,2020/03/15,17,71,18,55,107,1571,658,658,4,9,645,107,233,46,6,142,23,6,5,45,3,19,1,6,3
18-56,Municipales,2020,1,2020/03/15,17,71,18,56,13,1860,471,471,4,7,460,74,150,47,1,71,36,3,3,43,2,26,0,4,0
18-57,Municipales,2020,1,2020/03/15,17,71,18,57,30,1803,694,694,7,7,680,108,238,76,6,126,24,3,4,52,2,27,4,10,0
18-58,Municipales,2020,1,2020/03/15,17,71,18,58,33,1707,649,640,5,8,627,95,223,70,5,103,20,2,5,49,1,44,1,6,3
18-59,Municipales,2020,1,2020/03/15,17,72,18,59,13,1715,622,621,8,10,603,80,223,65,8,98,20,3,9,55,3,32,5,2,0
18-60,Municipales,2020,1,2020/03/15,17,72,18,60,33,1682,765,765,5,11,749,90,275,63,8,140,27,2,7,65,5,53,1,11,2
18-61,Municipales,2020,1,2020/03/15,17,72,18,61,35,1765,743,743,4,16,723,77,288,100,7,116,32,2,4,52,0,40,0,3,2
18-62,Municipales,2020,1,2020/03/15,17,72,18,62,10,1665,627,627,4,7,616,81,206,59,5,120,29,5,6,55,4,35,3,5,3
18-63,Municipales,2020,1,2020/03/15,17,72,18,63,16,1780,579,579,8,15,556,67,186,60,10,78,32,3,3,67,5,34,4,4,3
18-64,Municipales,2020,1,2020/03/15,17,72,18,64,18,1738,486,484,6,6,472,49,161,59,3,46,39,3,5,61,2,34,4,5,1
18-65,Municipales,2020,1,2020/03/15,17,72,18,65,3,1847,428,428,6,17,405,45,100,57,4,32,47,2,1,69,3,35,8,1,1
18-66,Municipales,2020,1,2020/03/15,18,70,18,66,23,1384,660,660,2,3,655,53,223,126,2,121,30,2,2,62,1,22,3,7,1
18-67,Municipales,2020,1,2020/03/15,3,69,18,67,24,1404,561,562,0,5,557,49,187,72,6,113,33,1,4,69,3,14,3,2,1
18-68,Municipales,2020,1,2020/03/15,17,71,18,68,18,1334,553,554,2,4,548,84,181,67,6,102,28,2,3,45,4,17,4,5,0
